advogado_id,rating,total_partidas
procurador-geral do municipio de rolim de moura,1529.86,4
defensor publico do estado de rondonia,1529.69,9
procurador-geral do municipio de ji-parana,1508.72,3
tiago dos santos de lima (oab/ro 7199),1508.18,1
edilson stutz (oab/ro 309),1508.13,1
carlos henrique gazzoni (oab/ro 6722),1508.0,1
daniel barbosa santos (oab/df 13147),1508.0,1
williames pimentel de oliveira (oab/ro 2694),1508.0,1
procurador-geral do municipio de candeias do jamari,1508.0,1
rubia gomes cacique (oab/ro 5810),1507.98,1
francisca jusara de macedo coelho silva (oab/ro 10215),1507.82,1
procurador federal do inss,1507.82,4
rafael duck silva (oab/ro 5152),1507.64,1
carlos eduardo rocha almeida (oab/ro 3593),1500.35,1
edson bernardo andrade reis neto (oab/ro 1207),1500.18,1
gustavo gerola marsola (oab/ro 4164),1500.18,1
renata fabris pinto (oab/ro 3126),1500.18,1
karoline cavalcanti de paula (oab/ro 10268),1500.0,2
procurador-geral do saae - cacoal,1500.0,1
jose nonato de araujo neto (oab/ro 6471),1500.0,1
procuradoria geral do estado de rondonia,1500.0,2
luciana costa das chagas (oab/ro 6205),1500.0,1
iulsf anderson michelon (oab/ro 8084),1500.0,1
antonio isac nunes cavalcante de astre (oab/ro 5095),1500.0,1
vander carlos araujo machado (oab/ro 2521),1500.0,1
sergio fernandes de abreu junior (oab/ro 6629),1500.0,1
andre ricardo lemes da silva (oab/es 33288),1500.0,1
paulo cezar rodrigues de araujo (oab/ro 3182),1500.0,1
fernanda fumero garcia (oab/ro 4601),1500.0,1
joana kalsing (oab/ro 5004),1499.86,1
maisa bernachi baptista (oab/ro 8247),1499.86,1
paulo barroso serpa (oab/ro 4923),1499.86,1
rodrigo de barcelos taveira (oab/ro 10421),1499.85,1
procurador-geral do municipio de porto velho,1499.83,5
diego de paiva vasconcelos (oab/ro 2013),1499.81,1
procurador-geral do estado de rondonia,1494.14,23
procurador-geral do municipio de cacoal,1492.39,1
procurador-geral do municipio de vilhena,1492.22,1
amir francisco lando (oab/ro 34-a),1492.17,1
gabriel alencar de abreu (oab/ro 12826),1492.02,1
maracelia lima de oliveira (oab/ro 2549),1492.0,1
fabrizio thomazio guimaraes silva (oab/ro 14.865),1492.0,1
jeanne margaretha machado (oab/ro 10083),1492.0,1
flaviana leticia ramos moreira (oab/ro 4867),1492.0,1
josimar oliveira muniz (oab/ro 912),1492.0,1
edirlei barboza pereira de souza (oab/ro 13635),1492.0,1
jordan luiz miranda holanda (oab/ro 10573),1491.83,1
israel augusto alves freitas da cunha (oab/ro 2913),1491.82,1
leonardo falcao ribeiro (oab/ro 5408),1491.81,1
lurival antonio ercolin (oab/ro 64),1491.66,1
roseval rodrigues da cunha filho (oab/go 17394),1470.14,4
