2026-04-08 22:41:18,643 DEBUG    asyncio  Using selector: EpollSelector
2026-04-08 22:41:18,645 INFO     djen_backup.backfill  {'path': 'data/backfill-state.json', 'tribunals': 96, 'event': 'backfill_state_loaded', 'level': 'info', 'timestamp': '2026-04-09T02:41:18.645570Z'}
2026-04-08 22:41:18,648 INFO     djen_backup.state  {'path': 'data/ia-state.json', 'dates': 90, 'event': 'state_cache_loaded', 'level': 'info', 'timestamp': '2026-04-09T02:41:18.648130Z'}
2026-04-08 22:41:19,430 INFO     httpx  HTTP Request: GET https://archive.org/download/causaganha-dashboard/backfill-state.json "HTTP/1.1 302 Found"
2026-04-08 22:41:20,312 INFO     httpx  HTTP Request: GET https://ia601609.us.archive.org/21/items/causaganha-dashboard/backfill-state.json "HTTP/1.1 200 OK"
2026-04-08 22:41:20,327 INFO     djen_backup.state  {'filename': 'backfill-state.json', 'event': 'state_downloaded_from_ia', 'level': 'info', 'timestamp': '2026-04-09T02:41:20.327259Z'}
2026-04-08 22:41:21,055 INFO     httpx  HTTP Request: GET https://archive.org/download/causaganha-dashboard/ia-state.json "HTTP/1.1 302 Found"
2026-04-08 22:41:21,998 INFO     httpx  HTTP Request: GET https://ia801609.us.archive.org/21/items/causaganha-dashboard/ia-state.json "HTTP/1.1 200 OK"
2026-04-08 22:41:22,477 INFO     djen_backup.state  {'filename': 'ia-state.json', 'event': 'state_downloaded_from_ia', 'level': 'info', 'timestamp': '2026-04-09T02:41:22.477569Z'}
2026-04-08 22:41:22,479 INFO     djen_backup.backfill  {'local': 96, 'remote': 96, 'merged': 96, 'event': 'backfill_state_merged', 'level': 'info', 'timestamp': '2026-04-09T02:41:22.479273Z'}
2026-04-08 22:41:22,481 INFO     djen_backup.backfill  {'local': 90, 'remote': 90, 'merged': 90, 'event': 'ia_state_merged', 'level': 'info', 'timestamp': '2026-04-09T02:41:22.481667Z'}
2026-04-08 22:41:22,484 INFO     djen_backup.backfill  {'tribunals': 23, 'event': 'backfill_genesis_loaded', 'level': 'info', 'timestamp': '2026-04-09T02:41:22.484512Z'}
2026-04-08 22:41:22,887 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/comunicacao/tribunal "HTTP/1.1 200 OK"
2026-04-08 22:41:22,890 INFO     djen_backup.tribunais  {'hardcoded': 96, 'from_api': 115, 'merged': 96, 'event': 'tribunal_list_loaded', 'level': 'info', 'timestamp': '2026-04-09T02:41:22.889979Z'}
2026-04-08 22:41:22,891 INFO     djen_backup.backfill  {'tribunal': 'TRE-AC', 'new_cursor': '2026-04-08', 'event': 'cursor_auto_advanced', 'level': 'info', 'timestamp': '2026-04-09T02:41:22.891092Z'}
