tribunal,first_available
CJF,2024-01-22
PJECOR,2024-01-05
STJ,2024-11-21
STM,2024-11-29
TJAC,2024-07-30
TJAL,2024-09-06
TJAM,2024-01-19
TJAP,2024-01-01
TJBA,2024-01-01
TJCE,2025-08-21
TJDFT,2025-08-21
TJES,2025-07-28
TJGO,2026-01-21
TJMA,2025-07-28
TJMG,2025-08-22
TJMMG,2025-01-09
TJMRS,2025-03-19
TJMS,2025-01-07
TJMSP,2025-01-08
TJMT,2025-01-01
TJPA,2025-01-01
TJPB,2025-01-01
TJPE,2025-01-01
TJPI,2024-11-27
TJPR,2025-08-01
TJRJ,2025-12-08
TJRN,2025-09-18
TJRO,2025-08-22
TJRR,2025-08-22
TJRS,2025-11-25
TJSC,2025-12-19
TJSE,2026-01-08
TJSP,2025-12-02
TJTO,2025-12-22
TRF1,2025-12-23
TRF2,2025-12-23
TRF3,2025-11-17
TRF4,2026-01-07
TRF5,2025-05-16
TRF6,2025-12-22
TRT1,2025-12-24
TRT10,2026-01-07
TRT11,2026-01-21
TRT12,2026-01-12
TRT13,2026-01-07
TRT14,2026-01-07
TRT15,2026-01-07
TRT16,2026-01-07
TRT17,2025-12-29
TRT18,2026-01-07
TRT19,2026-01-21
TRT2,2026-01-07
TRT20,2026-01-07
TRT21,2026-01-02
TRT22,2026-01-07
TRT23,2026-01-07
TRT24,2026-01-07
TRT3,2025-12-22
TRT4,2026-01-07
TRT5,2026-01-07
TRT6,2026-01-07
TRT7,2026-01-21
TRT8,2025-12-22
TRT9,2026-01-02
TST,2025-12-22
